,project_id,id,title,doi,handle,url,published_date,thumb,defined_type,defined_type_name,group_id,url_private_api,url_public_api,url_private_html,url_public_html,timeline,resource_title,resource_doi
0,,13649693,Writing Themselves In 4: the health and wellbeing of LGBTQA+ young people in Australia. South Australia summary report.,10.26181/60112d78eeffe,,https://api.figshare.com/v2/articles/13649693,2021-02-10T02:31:29Z,https://ndownloader.figshare.com/files/26393677/preview/26393677/thumb.png,18,report,21314,https://api.figshare.com/v2/account/articles/13649693,https://api.figshare.com/v2/articles/13649693,https://figshare.com/account/articles/13649693,https://opal.latrobe.edu.au/articles/report/Writing_Themselves_In_4_the_health_and_wellbeing_of_LGBTQA_young_people_in_Australia_South_Australia_summary_report_/13649693,"{'posted': '2021-02-10T02:31:29', 'firstOnline': '2021-02-10T02:31:29'}",,
1,,15159393,Best Practices for Using Race in Public Health Research,10.25417/uic.15159393.v1,,https://api.figshare.com/v2/articles/15159393,2021-08-14T13:28:12Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/29123847/thumb.png,18,report,24567,https://api.figshare.com/v2/account/articles/15159393,https://api.figshare.com/v2/articles/15159393,https://figshare.com/account/articles/15159393,https://indigo.uic.edu/articles/report/Best_Practices_for_Using_Race_in_Public_Health_Research/15159393,"{'posted': '2021-08-14T13:28:12', 'firstOnline': '2021-08-14T13:28:12'}",,
2,,7586939,Parental fear as a barrier to children’s independent mobility and resultant physical activity: final report 2015,10.26181/5c3d64c04f071,,https://api.figshare.com/v2/articles/7586939,2021-09-02T03:54:58Z,https://ndownloader.figshare.com/files/14088203/preview/14088203/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/7586939,https://api.figshare.com/v2/articles/7586939,https://figshare.com/account/articles/7586939,https://opal.latrobe.edu.au/articles/report/Parental_fear_as_a_barrier_to_CIM_-_Final_report_2015_pdf/7586939,"{'posted': '2021-09-02T03:54:58', 'firstOnline': '2019-01-15T04:46:14'}",,
3,93578.0,13315283,School District Wellness Policies: Evaluating Progress and Potential for Improving Children’s Health Eight Years after the Federal Mandate. School Years 2006-07 through 2013-14.,10.25417/uic.13315283.v1,,https://api.figshare.com/v2/articles/13315283,2020-12-16T23:50:03Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/25655918/thumb.png,18,report,33217,https://api.figshare.com/v2/account/articles/13315283,https://api.figshare.com/v2/articles/13315283,https://figshare.com/account/articles/13315283,https://indigo.uic.edu/articles/report/School_District_Wellness_Policies_Evaluating_Progress_and_Potential_for_Improving_Children_s_Health_Eight_Years_after_the_Federal_Mandate_School_Years_2006-07_through_2013-14_/13315283,"{'posted': '2020-12-16T23:50:03', 'firstOnline': '2020-12-16T23:50:03'}",,
4,,15261711,Standardised Data on Initiatives (STARDIT) Public consultation report – September 2019 to May 2021,10.26181/611dfcf12c6a9,,https://api.figshare.com/v2/articles/15261711,2021-11-19T01:09:16Z,https://s3-eu-west-1.amazonaws.com/ppreviews-latrobe-3848329482398942/31526816/thumb.png,18,report,26064,https://api.figshare.com/v2/account/articles/15261711,https://api.figshare.com/v2/articles/15261711,https://figshare.com/account/articles/15261711,https://opal.latrobe.edu.au/articles/report/Standardised_Data_on_Initiatives_STARDIT_Public_consultation_report_September_2019_to_May_2021/15261711,"{'posted': '2021-11-19T01:09:16', 'firstOnline': '2021-11-19T01:09:16'}",,
5,94295.0,18054776,"Policy, systems, and environmental change",10.25417/uic.18054776.v1,,https://api.figshare.com/v2/articles/18054776,2022-01-07T22:45:55Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/32782835/thumb.png,18,report,33214,https://api.figshare.com/v2/account/articles/18054776,https://api.figshare.com/v2/articles/18054776,https://figshare.com/account/articles/18054776,https://indigo.uic.edu/articles/report/Policy_systems_and_environmental_change/18054776,"{'posted': '2022-01-07T22:45:55', 'firstOnline': '2022-01-07T22:45:55'}",,
6,,13331405,Is digital media addiction real? A systematic scoping review,10.26181/5fc9a6bc02252,,https://api.figshare.com/v2/articles/13331405,2020-12-04T03:03:46Z,,18,report,29006,https://api.figshare.com/v2/account/articles/13331405,https://api.figshare.com/v2/articles/13331405,https://figshare.com/account/articles/13331405,https://opal.latrobe.edu.au/articles/report/Is_digital_media_addiction_real_A_systematic_scoping_review/13331405,"{'posted': '2020-12-04T03:03:46', 'firstOnline': '2020-12-04T03:03:46'}",,
7,,12980831,Tracking global knowledge-to-policy pathways in the coronavirus crisis: A preliminary report from ongoing research,10.17608/k6.auckland.12980831.v1,,https://api.figshare.com/v2/articles/12980831,2020-09-20T20:01:14Z,https://s3-eu-west-1.amazonaws.com/ppreviews-auckland-41534891/24731975/thumb.png,18,report,24647,https://api.figshare.com/v2/account/articles/12980831,https://api.figshare.com/v2/articles/12980831,https://figshare.com/account/articles/12980831,https://auckland.figshare.com/articles/report/Tracking_global_knowledge-to-policy_pathways_in_the_coronavirus_crisis_A_preliminary_report_from_ongoing_research/12980831,"{'posted': '2020-09-20T20:01:14', 'firstOnline': '2020-09-20T20:01:14'}",,
8,,13346609,Young people and sources of sexual health information,10.26181/5fd04054577e4,,https://api.figshare.com/v2/articles/13346609,2020-12-09T03:11:14Z,https://ndownloader.figshare.com/files/25724969/preview/25724969/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/13346609,https://api.figshare.com/v2/articles/13346609,https://figshare.com/account/articles/13346609,https://opal.latrobe.edu.au/articles/report/Young_people_and_sources_of_sexual_health_information/13346609,"{'posted': '2020-12-09T03:11:14', 'firstOnline': '2020-12-09T03:11:14'}",,
9,,20076200,Townsville Family Violence Support Service Model,10.25946/20076200.v1,,https://api.figshare.com/v2/articles/20076200,2022-06-15T22:14:28Z,https://s3-eu-west-1.amazonaws.com/ppreviews-cqu-0121624439/35911316/thumb.png,18,report,30566,https://api.figshare.com/v2/account/articles/20076200,https://api.figshare.com/v2/articles/20076200,https://figshare.com/account/articles/20076200,https://acquire.cqu.edu.au/articles/report/Townsville_Family_Violence_Support_Service_Model/20076200,"{'posted': '2022-06-15T22:14:28', 'publisherPublication': '2020-07-21T00:00:00', 'firstOnline': '2022-06-15T22:14:28'}",,
10,,14452587,Victorian Young People and Sexual Health 2018: Findings from the 6th National Survey of Australian Secondary Students and Sexual Health,10.26181/14452587.v1,,https://api.figshare.com/v2/articles/14452587,2022-01-18T23:47:48Z,https://s3-eu-west-1.amazonaws.com/ppreviews-latrobe-3848329482398942/33445931/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/14452587,https://api.figshare.com/v2/articles/14452587,https://figshare.com/account/articles/14452587,https://opal.latrobe.edu.au/articles/report/Victorian_Young_People_and_Sexual_Health_2018_Findings_from_the_6th_National_Survey_of_Australian_Secondary_Students_and_Sexual_Health/14452587,"{'posted': '2022-01-18T23:47:48', 'firstOnline': '2022-01-18T23:47:48'}",,
11,,19701715,Understanding the health and social wellbeing needs of sex workers in Victoria (Digital version),10.26181/19701715.v2,,https://api.figshare.com/v2/articles/19701715,2022-05-16T00:42:12Z,https://s3-eu-west-1.amazonaws.com/ppreviews-latrobe-3848329482398942/35123614/thumb.png,18,report,29006,https://api.figshare.com/v2/account/articles/19701715,https://api.figshare.com/v2/articles/19701715,https://figshare.com/account/articles/19701715,https://opal.latrobe.edu.au/articles/report/Understanding_the_health_and_social_wellbeing_needs_of_sex_workers_in_Victoria_Digital_version_/19701715,"{'posted': '2022-05-16T00:42:12', 'firstOnline': '2022-05-04T06:04:00'}",Understanding the health and social wellbeing needs of sex workers in Victoria,10.26181/19580827
12,,19105496,Unhealthy food and drink marketing in Aotearoa New Zealand: Evidence Snapshot 2022,10.17608/k6.auckland.19105496.v1,,https://api.figshare.com/v2/articles/19105496,2022-02-02T03:19:56Z,https://s3-eu-west-1.amazonaws.com/ppreviews-auckland-41534891/33948479/thumb.png,18,report,1449,https://api.figshare.com/v2/account/articles/19105496,https://api.figshare.com/v2/articles/19105496,https://figshare.com/account/articles/19105496,https://auckland.figshare.com/articles/report/Unhealthy_food_and_drink_marketing_in_Aotearoa_New_Zealand_Evidence_Snapshot_2022/19105496,"{'posted': '2022-02-02T03:19:56', 'firstOnline': '2022-02-02T03:19:56'}",Unhealthy food and drink marketing in Aotearoa New Zealand: Evidence Snapshot 2022,10.17608/k6.auckland.19105496
13,,16823335,Health Justice Unpacked at UIC,10.25417/uic.16823335.v1,,https://api.figshare.com/v2/articles/16823335,2021-10-28T21:34:03Z,https://s3-eu-west-1.amazonaws.com/ppreviews-uic-1063003817/31107652/thumb.png,18,report,24567,https://api.figshare.com/v2/account/articles/16823335,https://api.figshare.com/v2/articles/16823335,https://figshare.com/account/articles/16823335,https://indigo.uic.edu/articles/report/Health_Justice_Unpacked_at_UIC/16823335,"{'posted': '2021-10-28T21:34:03', 'firstOnline': '2021-10-28T21:34:03'}",,
14,,13464497,Who are our patients? : a socio-demographic profile of head and neck cancer patients,,10018/917015,https://api.figshare.com/v2/articles/13464497,2017-12-06T00:00:00Z,,18,report,30566,https://api.figshare.com/v2/account/articles/13464497,https://api.figshare.com/v2/articles/13464497,https://figshare.com/account/articles/13464497,https://cqu.figshare.com/articles/report/Who_are_our_patients_a_socio-demographic_profile_of_head_and_neck_cancer_patients/13464497,"{'posted': '2017-12-06T00:00:00', 'publisherPublication': '2003-01-01T00:00:00', 'firstOnline': '2003-01-01T00:00:00'}",,
15,,13323155,Smoking Interventions for People Who Use Illicit Drugs: A Systematic Scoping Review,10.26181/5fc858d502df7,,https://api.figshare.com/v2/articles/13323155,2020-12-03T06:15:50Z,,18,report,29006,https://api.figshare.com/v2/account/articles/13323155,https://api.figshare.com/v2/articles/13323155,https://figshare.com/account/articles/13323155,https://opal.latrobe.edu.au/articles/report/Smoking_Interventions_for_People_Who_Use_Illicit_Drugs_A_Systematic_Scoping_Review/13323155,"{'posted': '2020-12-03T06:15:50', 'firstOnline': '2020-12-03T03:18:54'}",,
