id,full_name,is_active,url_name,orcid_id,item_id
12959306,Natã Rahhal,True,Nat_Rahhal,0000-0002-9652-5754,20231718
12155576,Fernando Pinto,False,_,null,20231718
12151014,Pablo Medrano-Vizcaíno,True,Pablo_Medrano-Vizca_no,0000-0003-3122-048X,20231718
10384539,Cristiane Nunes Francisco,False,_,null,20231718
7475675,Sávio Freire Bruno,False,_,null,20231718
12959306,Natã Rahhal,True,Nat_Rahhal,0000-0002-9652-5754,20231682
12155576,Fernando Pinto,False,_,null,20231682
12151014,Pablo Medrano-Vizcaíno,True,Pablo_Medrano-Vizca_no,0000-0003-3122-048X,20231682
10384539,Cristiane Nunes Francisco,False,_,null,20231682
7475675,Sávio Freire Bruno,False,_,null,20231682
14645720,Jordan Anspach,False,_,null,22129361
16007714,Maria Chikina,True,Maria_Chikina,null,23280182
16007552,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279966
16007552,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279969
16007552,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279999
12110544,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279912
12110544,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279903
12110544,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279888
12110544,Anonymous Anonymous,True,Anonymous_Anonymous,null,23279864
11332032,PAOLO FRANCHINI,True,PAOLO_FRANCHINI,null,23261534
13893726,Saeed Parsa,True,Saeed_Parsa,null,21284619
13925934,Morteza Zakeri-Nasrabadi,True,Morteza_Zakeri-Nasrabadi,0000-0003-4289-0606,21284619
13893726,Saeed Parsa,True,Saeed_Parsa,null,21270120
13925934,Morteza Zakeri-Nasrabadi,True,Morteza_Zakeri-Nasrabadi,0000-0003-4289-0606,21270120
13925934,Morteza Zakeri-Nasrabadi,True,Morteza_Zakeri-Nasrabadi,0000-0003-4289-0606,21258609
13893726,Saeed Parsa,True,Saeed_Parsa,null,21258609
13925934,Morteza Zakeri-Nasrabadi,True,Morteza_Zakeri-Nasrabadi,0000-0003-4289-0606,21258606
13893726,Saeed Parsa,True,Saeed_Parsa,null,21258606
9726332,Yan Zhao,True,Yan_Zhao,null,23276402
16005757,Martin Vingron,False,_,null,23276402
16005755,Clemens Kohl,False,_,null,23276402
16005494,kamel belhadj,True,kamel_belhadj,0000-0002-5931-9564,23276231
5711126,Jacqui Vanderhoorn,True,Jacqui_Vanderhoorn,null,23275529
15445645,Janet Wilmshurst,False,_,0000-0002-4474-8569,23275529
16005004,Sarah Richardson,False,_,0000-0002-4097-0381,23275529
