,id,title,grant_code,funder_name,is_user_defined,url,item_id
0,115803,Computer Aided Detection of Diabetic Retinopathy in Veterans with Diabetes,I01CX000119,United States Department of Veterans Affairs,0,https://app.dimensions.ai/details/grant/grant.2401875,8377090
1,12929612,my grant,,,1,,8377090
2,13892152,Internal Lancaster Funding,,,1,,8332638
3,11954045,UKRI Trustworthy Autonomous Systems Hub,EP/V00784X/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9343379,8332638
4,12198552,UKRI Trustworthy Autonomous Systems Node in Verifiability,EP/V026801/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9451536,8327074
5,13892146,funding from internal source,,,1,,8327074
6,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8283932
7,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8271566
8,13892016,Internal Anton Bruckner,,,1,,8271566
9,10995321,The Role of the Gut Microbiota in Honey Bee Health,2018-67013-27540,National Institute of Food and Agriculture,0,https://app.dimensions.ai/details/grant/grant.8826473,8250356
10,13891968,The Mechanistic Study on N-doped Carbon Nanomaterials as Highly Efficient Cathode for Fuel Cells,,,1,,8250356
11,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8245261
12,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8242835
13,12574006,UKRI COVID19 Doctoral Funding Kingston University,NE/W502637/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.9624484,8205535
14,13698837,other funding,,,1,,8205535
15,13556192,UKRI-India Future Networks Initiative,EP/W016699/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9957789,8205483
